,chemicalFormula,licenses,names,preparation,references,Axis Length,Axis Length-conditions,Axis Length-units,Bulk Modulus,Bulk Modulus-conditions,Bulk Modulus-maximum,Bulk Modulus-minimum,Bulk Modulus-units,Cell Angle,Cell Angle-conditions,Cell Angle-units,Chemical Family,Commercial Name,Compressive Strength,Compressive Strength-conditions,Compressive Strength-maximum,Compressive Strength-minimum,Compressive Strength-units,Corrosion Activtn Energy,Corrosion Activtn Energy-conditions,Corrosion Activtn Energy-units,Corrosion Rate,Corrosion Rate-conditions,Corrosion Rate-units,Corrosion Species,Corrosion Species-conditions,Creep Activatn Energy,Creep Activatn Energy-conditions,Creep Activatn Energy-units,Creep Rate,Creep Rate Exponent,Creep Rate Exponent-conditions,Creep Rate-conditions,Creep Rate-units,Crystal Cell System,Crystal Cell System-conditions,Crystallinity,Debye Temperature,Debye Temperature-conditions,Debye Temperature-units,Density,Density-conditions,Density-maximum,Density-minimum,Density-units,Diffusion Coefficient,Diffusion Coefficient-conditions,Diffusion Coefficient-units,Dopant,Dopant-conditions,Elastic Modulus,Elastic Modulus-conditions,Elastic Modulus-maximum,Elastic Modulus-minimum,Elastic Modulus-units,Elasticity Tensor,Elasticity Tensor-conditions,Elasticity Tensor-units,Electrical Resistivity Log,Electrical Resistivity Log-conditions,Electrical Resistivity Log-units,Flexural Strength,Flexural Strength-conditions,Flexural Strength-maximum,Flexural Strength-minimum,Flexural Strength-units,Fracture Energy,Fracture Energy-conditions,Fracture Energy-units,Fracture Toughness,Fracture Toughness-conditions,Fracture Toughness-maximum,Fracture Toughness-minimum,Fracture Toughness-units,Friction Coefficient,Friction Coefficient-conditions,Friction Coefficient-maximum,Friction Coefficient-minimum,Grain Size,Grain Size-conditions,Grain Size-maximum,Grain Size-minimum,Grain Size-units,Grinding Rat,Grinding Rat-conditions,Grinding Rat-units,Gruneisen Parameter,Gruneisen Parameter-conditions,Hardness,Hardness-conditions,Hardness-maximum,Hardness-minimum,Hardness-units,Impurity,Impurity-conditions,InChI,Log Wear Coefficient,Log Wear Coefficient-conditions,Log Wear Rate,Log Wear Rate-conditions,Log Wear Rate-units,Manufacturer,Maximum-Use Temperature,Maximum-Use Temperature-conditions,Maximum-Use Temperature-units,Melting Point Temperature,Melting Point Temperature-conditions,Melting Point Temperature-units,Phase,Phase-conditions,Poissons Ratio,Poissons Ratio-conditions,Poissons Ratio-maximum,Poissons Ratio-minimum,Porosity,Porosity-conditions,Porosity-units,Production Form,Relative Atomic Coordinate,Relative Atomic Coordinate-conditions,SMILES,Shear Modulus,Shear Modulus-conditions,Shear Modulus-units,Sintering Aid,Sintering Aid-conditions,Sound Velocity,Sound Velocity-conditions,Sound Velocity-units,Space Group,Space Group-conditions,Specific Heat,Specific Heat-conditions,Specific Heat-units,Tensile Strength,Tensile Strength-conditions,Tensile Strength-maximum,Tensile Strength-minimum,Tensile Strength-units,Thermal Conductivity,Thermal Conductivity-conditions,Thermal Conductivity-units,Thermal Diffusivity,Thermal Diffusivity-conditions,Thermal Diffusivity-units,Thermal Expansion,Thermal Expansion-conditions,Thermal Expansion-units,Thermal Shock Resistance,Thermal Shock Resistance-conditions,Thermal Shock Resistance-units,Weibull Modulus,Weibull Modulus-conditions,Weibull Strength,Weibull Strength-conditions,Weibull Strength-units
447,Al2O3.xMo,[{'name': 'NIST_SRD-30'}],['Alumina composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Fracture Energy and R-Curve Behavior of Al2O3/Mo Composites, O. Sbaizero, G. Pezzotti, and T. Nishida, Acta Materialia, Vol. 46 2, pp. 681-687 (1998), published by Acta Metallurgica Inc..'}]",,,,,,,,,,,,Al-O:Mo,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,"[{'name': 'Volume Fraction of Mo', 'scalars': [{'value': '20'}, {'value': '20'}, {'value': '20'}, {'value': '20'}, {'value': '20'}, {'value': '20'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '0'}, {'value': '0'}, {'value': '0'}, {'value': '0'}, {'value': '0'}, {'value': '0'}, {'value': '0'}], 'units': '%'}, {'name': 'Crack Extension', 'scalars': [{'value': '0.00'}, {'value': '0.20'}, {'value': '0.37'}, {'value': '0.69'}, {'value': '0.98'}, {'value': '1.14'}, {'value': '0.00'}, {'value': '0.14'}, {'value': '0.41'}, {'value': '0.61'}, {'value': '0.84'}, {'value': '0.87'}, {'value': '1.11'}, {'value': '0.00'}, {'value': '0.21'}, {'value': '0.39'}, {'value': '0.66'}, {'value': '0.79'}, {'value': '0.93'}, {'value': '1.15'}, {'value': '0.00'}, {'value': '0.15'}, {'value': '0.36'}, {'value': '0.59'}, {'value': '0.85'}, {'value': '0.94'}, {'value': '1.10'}, {'value': '0.00'}, {'value': '0.18'}, {'value': '0.42'}, {'value': '0.62'}, {'value': '0.89'}, {'value': '0.98'}, {'value': '1.13'}], 'units': 'mm'}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,MgO,[{'name': 'NIST_SRD-30'}],['Magnesia'],[{'name': 'Hot Pressing'}],"[{'citation': 'Influence of Grain Size and Temperature on Fracture Toughness of MgO Sintered Bodies, K. Yasuda, S.D. Kim, Y. Kanemichi, Y. Matsuo and S. Kimura, Journal of the Ceramic Society of Japan Inter. Ed., Vol. 98, pp. 44-49 (1990), published by FUJI Technology Press Ltd..'}]",,,,,,,,,,,,Mg-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,"[{'name': 'Temperature', 'scalars': [{'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '1000'}, {'value': '1000'}, {'value': '1000'}, {'value': '1000'}, {'value': '1000'}, {'value': '1200'}, {'value': '1200'}, {'value': '1200'}], 'units': '$^{\\circ}$C'}, {'name': 'Grain Size', 'scalars': [{'value': '10'}, {'value': '28'}, {'value': '58'}, {'value': '90'}, {'value': '139'}, {'value': '188'}, {'value': '39'}, {'value': '56'}, {'value': '76'}, {'value': '132'}, {'value': '201'}, {'value': '41'}, {'value': '71'}, {'value': '91'}], 'units': '$\\mu$m'}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,B4C,[{'name': 'NIST_SRD-30'}],['Boron carbide'],[{'name': 'Hot Pressing'}],"[{'citation': 'Boron Carbide Powder Compaction During Hot Pressing, I. T. Ostapenko, V. V. Slezov, R. V. Tarasov a. o., Poroshkovaya Metallurgiya (Metallurgy of Powders) 5, pp. 38-43 (1979).'}]",,,,,,,,,,,,B-C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,"[{'name': 'Mass Fraction', 'scalars': [{'value': '0.04'}, {'value': '0.20'}], 'units': '%'}]",,,,,,,,,,,,,,,,,,,,,,,Rod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,ZrO2,[{'name': 'NIST_SRD-30'}],['Zirconia'],,"[{'citation': 'Heat-insulating Powders Based on the Monoclinic Zirconia, A. G. Karaulov, T. V. Piskun, Ogneupori (Refractories) 7, pp. 43-44 (1989).'}]",,,,,,,,,,,,Zr-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,"[{'name': 'Temperature', 'scalars': [{'value': '473'}, {'value': '873'}, {'value': '473'}, {'value': '873'}, {'value': '1273'}, {'value': '473'}, {'value': '873'}, {'value': '1273'}], 'units': 'K'}, {'name': 'Grain Size', 'scalars': [{'minimum': '2000', 'maximum': '8000'}, {'minimum': '2000', 'maximum': '8000'}, {'minimum': '2000', 'maximum': '8000'}, {'minimum': '2000', 'maximum': '8000'}, {'minimum': '2000', 'maximum': '8000'}, {'minimum': '0', 'maximum': '2000'}, {'minimum': '0', 'maximum': '2000'}, {'minimum': '0', 'maximum': '2000'}], 'units': '$\\mu$m'}, {'name': 'Powder Number', 'scalars': [{'value': '1'}, {'value': '1'}, {'value': '2'}, {'value': '2'}, {'value': '2'}, {'value': '3'}, {'value': '3'}, {'value': '3'}]}]",W m$^{-1}$ K$^{-1}$,,,,,,,,,,,,,,
451,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],[{'name': 'Sintering'}],"[{'citation': 'High Temperature Corrosion of Engineering Ceramics, N.S. Jacobson, J.L. Smialek, and D.S. Fox, Corrosion of Glass, Ceramics and Ceramic Superconductors, pp. 514-545 (1992), edited by D.E. Clark and B.K. Zoitos, published by Noyes Publications.'}]",,,,,,,,,,,,Si-N:Y,,,,,,,,,,0.13,"[{'name': 'Exposure Time', 'scalars': [{'value': '40'}], 'units': 'h'}, {'name': 'Exposure Temperature', 'scalars': [{'value': '1000'}], 'units': '$^{\\circ}$C'}]",mg cm$^{-2}$ h$^{-1}$,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Al2O3.xZrO2,[{'name': 'NIST_SRD-30'}],['Alumina composite'],,"[{'citation': 'Effects of Environment on the Mechanical Behavior of High-Performance Ceramics, G.A. Graves and N.L. Hecht, Report No. UDR-TR-94-136, pp. 1-138 (1995), published by University of Dayton Research Institute.'}]",,,,,,,,,,,,Al-O:ZrO,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ceramatec, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,"[{'name': 'Temperature Range', 'scalars': [{'minimum': '25', 'maximum': '1050'}], 'units': '$^{\\circ}$C'}]",x10$^{-6}$,,,,,,,,
453,Tm2O3,[{'name': 'NIST_SRD-30'}],['Thulium oxide'],[{'name': 'Sintering'}],"[{'citation': 'Elastic Properties of Polycrystalline Thulium Oxide and Lutetium Oxide from 20 °C to 1000 °C, W.R. Manning and O. Hunter,Jr., Journal of the American Ceramic Society, Vol. 53 5, pp. 279-280 (1970), published by American Ceramic Society.'}]",,,,,,,,,,,,Tm-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,162.8,"[{'name': 'Temperature', 'scalars': [{'value': '20'}, {'value': '96'}, {'value': '152'}, {'value': '217'}, {'value': '290'}, {'value': '367'}, {'value': '428'}, {'value': '518'}, {'value': '597'}, {'value': '654'}, {'value': '711'}, {'value': '795'}, {'value': '857'}, {'value': '896'}, {'value': '964'}, {'value': '1000'}], 'units': '$^{\\circ}$C'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,ZrO2.xCeO2,[{'name': 'NIST_SRD-30'}],['Zirconia'],[{'name': 'Sintering'}],"[{'citation': 'Mechanical Properties in the Ceria-Zirconia System, S. Maschio, O. Sbaizero and S. Meriani, Journal of the European Ceramic Society, Vol. 9, pp. 127-132 (1992), published by Elsevier Science Limited.'}]",,,,,,,,,,,,Zr-O:CeO,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,"[{'name': 'Mole Fraction of CeO2', 'scalars': [{'value': '10'}, {'value': '12'}, {'value': '14'}, {'value': '16'}, {'value': '24'}, {'value': '32'}, {'value': '40'}, {'value': '48'}, {'value': '60'}, {'value': '70'}, {'value': '80'}, {'value': '90'}, {'value': '100'}], 'units': '%'}, {'name': 'Phase', 'scalars': [{'value': 'TZ0'}, {'value': 'TZ0'}, {'value': 'TZ0'}, {'value': 'TZ0'}, {'value': 'TZ0+TZ'}, {'value': 'TZ0+TZ'}, {'value': 'TZ0+TZ'}, {'value': 'TZ0+TZ'}, {'value': 'Cubic'}, {'value': 'Cubic'}, {'value': 'Cubic'}, {'value': 'Cubic'}, {'value': 'Cubic'}]}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Si3N4.xMoSi2,[{'name': 'NIST_SRD-30'}],['Silicon nitride composite'],[{'name': 'Sintering'}],"[{'citation': 'Mechanical Behavior MoSi2 Reinforced-Si3N4 Matrix Composites, J.J. Petrovic, M.I. Pena, I.E. Reimanis, M.S. Sandlin, S.D. Conzone, H.H. Kung, and D.P. Butt, Journal of the American Ceramic Society, Vol. 80 12, pp. 3070-3076 (1997), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-N:MoSi,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,"[{'name': 'Temperature', 'scalars': [{'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '1200'}, {'value': '1200'}, {'value': '1200'}, {'value': '1200'}, {'value': '1200'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '23'}], 'units': '$^{\\circ}$C'}, {'name': 'Powder Grain Size', 'scalars': [{'value': '3'}, {'value': '3'}, {'value': '3'}, {'value': '3'}, {'value': '3'}, {'value': '3'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}, {'value': '10'}], 'units': '$\\mu$m'}, {'name': 'Mass Fraction of MgO', 'scalars': [{'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}, {'value': '5'}], 'units': '%'}, {'name': 'Volume Fraction of MoSi2', 'scalars': [{'value': '0'}, {'value': '10'}, {'value': '20'}, {'value': '30'}, {'value': '40'}, {'value': '50'}, {'value': '0'}, {'value': '10'}, {'value': '20'}, {'value': '30'}, {'value': '40'}, {'value': '50'}, {'value': '0'}, {'value': '10'}, {'value': '20'}, {'value': '30'}, {'value': '40'}, {'value': '50'}, {'value': '0'}, {'value': '10'}, {'value': '20'}, {'value': '30'}, {'value': '40'}, {'value': '0'}, {'value': '10'}, {'value': '20'}, {'value': '30'}, {'value': '40'}, {'value': '50'}], 'units': '%'}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,AlN.xSiC,[{'name': 'NIST_SRD-30'}],['Aluminum nitride composite'],[{'name': 'Sintering'}],"[{'citation': 'Pressureless Sintering and High-Temperature Strength of SiC-AlN Ceramics, J.F. Li and R. Watanabe, Journal of the Ceramic Society of Japan, Vol. 102 8, pp. 727-731 (1994), published by Ceramic Society of Japan.'}]",,,,,,,,,,,,Al-N:SiC,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlN,"[{'name': 'Amount of Phase', 'scalars': [{'value': '1'}, {'value': 'x'}], 'units': 'mol'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,BeO,[{'name': 'NIST_SRD-30'}],['Beryllia'],[{'name': 'Sintering'}],"[{'citation': 'Rigidity Modulus of Some Pure Oxide Bodies, E. Ryshkewitch, Journal of the American Ceramic Society, Vol. 34 10, pp. 322-326 (1951), published by American Ceramic Society.'}]",,,,,,,,,,,,Be-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,277,"[{'name': 'Temperature', 'scalars': [{'value': '20'}], 'units': '$^{\\circ}$C'}, {'name': 'Specimen Number', 'scalars': [{'value': '2'}]}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,ZrO2.xY2O3,[{'name': 'NIST_SRD-30'}],['Zirconia (TZP)'],,"[{'citation': 'Comparison of the Mechanical Behaviour of Zirconia Partially Stabilized with Yttria and Magnesia, G.A. Gogotsi, A.V. Drozdov, V.P. Zavata, and M.V. Swain, Journal of the Australasian Ceramic Society, Vol. 27 1, pp. 37-49 (1991), published by Tech Publications, Aedermannsdorf, Switzerland.'}]",,,,,,,,,,,,Zr-O:Y,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,"[{'name': 'Temperature', 'scalars': [{'value': '290'}, {'value': '360'}, {'value': '470'}, {'value': '570'}, {'value': '760'}, {'value': '870'}, {'value': '970'}, {'value': '1060'}, {'value': '1170'}, {'value': '1270'}], 'units': 'K'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Y2O3.xSiC,[{'name': 'NIST_SRD-30'}],['Yttria composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Oxidation-Induced Toughening and Strengthening of Y2O3/SiC Nanocomposites, M. Yoshimura, T. Ohji, and K. Niihara, Journal of the American Ceramic Society, Vol. 80 3, pp. 797-799 (1997), published by American Ceramic Society.'}]",,,,,,,,,,,,Y-O:SiC,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,165,"[{'name': 'Volume Fraction of SiC', 'scalars': [{'value': '0'}, {'value': '5'}], 'units': '%'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,HfO2,[{'name': 'NIST_SRD-30'}],['Hafnia (monoclinic)'],[{'name': 'Hot Pressing'}],"[{'citation': 'Elastic Properties of Monoclinic Hafnium Oxide at Room Temperature, S.L. Dole, O. Hunter,Jr., and C.J. Wooge, Journal of the American Ceramic Society, Vol. 60 11, pp. 488-490 (1977), published by American Ceramic Society.'}]",,,,,,,,,,,,Hf-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,"[{'name': 'Specimen with Microcracks ?', 'scalars': [{'value': 'no'}, {'value': 'no'}, {'value': 'no'}, {'value': 'no'}, {'value': 'no'}, {'value': 'no'}, {'value': 'no'}, {'value': 'no'}, {'value': 'no'}, {'value': 'no'}, {'value': 'no'}, {'value': 'no'}, {'value': 'no'}, {'value': 'yes'}, {'value': 'yes'}, {'value': 'yes'}, {'value': 'yes'}, {'value': 'yes'}, {'value': 'yes'}]}, {'name': 'Volume Fraction of Porosity', 'scalars': [{'value': '0.038'}, {'value': '0.045'}, {'value': '0.064'}, {'value': '0.089'}, {'value': '0.109'}, {'value': '0.126'}, {'value': '0.147'}, {'value': '0.162'}, {'value': '0.166'}, {'value': '0.195'}, {'value': '0.196'}, {'value': '0.234'}, {'value': '0.248'}, {'value': '0.033'}, {'value': '0.077'}, {'value': '0.084'}, {'value': '0.086'}, {'value': '0.117'}, {'value': '0.136'}]}]",GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],,"[{'citation': 'Engineering Properties of Nitrides, S. Hampshire, Engineered Materials Handbook, Vol. 4, pp. 812-820 (1991), edited by S.J. Schneider, Jr., published by ASM International.'}]",,,,,,,,,,,,Si-N,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}, {'name': 'Material Type', 'scalars': [{'value': 'SSN'}]}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],[{'name': 'Reaction Bonding'}],"[{'citation': 'Flexure Strength of Advanced Structural Ceramics:  A Round Robin, G. Quinn, Journal of the American Ceramic Society, Vol. 73 8, pp. 2374-2384 (1990), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-N,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,2.40,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,g cm$^{-3}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,ZrO2.xY2O3,[{'name': 'NIST_SRD-30'}],['Zirconia (TZP)'],[{'name': 'Sintering'}],"[{'citation': 'Mechanical Properties of Zirconia Ceramics at Low Temperature, K. Jikihara and M. Ishihara, Journal of the Ceramic Society of Japan Inter. Ed., Vol. 98, pp. 76-82 (1990), published by FUJI Technology Press Ltd..'}]",,,,,,,,,,,,Zr-O:Y,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,534,"[{'name': 'Additive', 'scalars': [{'value': 'Y2O3'}]}, {'name': 'Mole Fraction of Additive', 'scalars': [{'value': '6'}, {'value': '6'}, {'value': '6'}, {'value': '3'}, {'value': '3'}, {'value': '3'}], 'units': '%'}, {'name': 'Temperature', 'scalars': [{'value': '77'}, {'value': '203'}, {'value': '298'}, {'value': '77'}, {'value': '203'}, {'value': '298'}], 'units': 'K'}]",,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,C,[{'name': 'NIST_SRD-30'}],['Diamond (CVD)'],[{'name': 'Chemical Vapor Deposition'}],"[{'citation': 'Round Robin Thermal Conductivity Measurements on CVD Diamond, A. Feldman, Applications of Diamond Films and Related Materials, pp. 627-630 (1995), edited by A. Feldman,Y. Tzeng, W. Yarbrough,M. Yoshikawa,M. Murakawa, published by National Institute of Standards and Technology.'}]",,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,"[{'name': 'Number of Values', 'scalars': [{'value': '8'}]}, {'name': 'Specimen Name', 'scalars': [{'value': 'LD-X'}]}]",cm$^{2}$ s$^{-1}$,,,,,,,,,,,
465,Al6Si2O13.xZrO2,[{'name': 'NIST_SRD-30'}],['Mullite composite'],[{'name': 'Sintering'}],"[{'citation': 'Thermal Conductivity of Mullite-Zirconia Composites, T.M. Kyaw, Y. Okamoto, and K. Hayashi, Journal of the Ceramic Society of Japan, Vol. 103 12, pp. 1289-1292 (1995), published by Ceramic Society of Japan.'}]",,,,,,,,,,,,Al-Si-O:ZrO,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,"[{'name': 'Species', 'scalars': [{'value': 'Mullite'}, {'value': 'Zirconia'}]}, {'name': 'Volume Fraction of ZrO2', 'scalars': [{'value': '0'}, {'value': '100'}], 'units': '%'}]",J kg$^{-1}$ K$^{-1}$,,,,,,,,,,,,,,,,,,,,,,
466,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Sintering'}],"[{'citation': 'Corrosion of Ceramics in Heat Exchanger Applications, T.E. Easler and R.B. Poeppel, High Temperature Corrosion in Energy Systems, pp. 269-280 (1985), edited by M. F. Rothman, published by Metallurgical Society of AIME.'}]",,,,,,,,,,,,"Si-C:B,C",Hexoloy SA,,,,,,,,,0.0007,"[{'name': 'Environment', 'scalars': [{'value': 'Air'}, {'value': 'Acid Slag'}, {'value': 'Basic Slag'}, {'value': 'Air'}, {'value': 'Acid Slag'}, {'value': 'Basic Slag'}]}, {'name': 'Process Type', 'scalars': [{'value': 'Slip Cast'}, {'value': 'Slip Cast'}, {'value': 'Slip Cast'}, {'value': 'Extruded'}, {'value': 'Extruded'}, {'value': 'Extruded'}]}]",mg cm$^{-2}$ h$^{-1}$,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carborundum Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
